order_id,customer_id,order_date,product_category,order_amount,order_status,city,state
9f0de40c-484c-4be3-a7ff-2afe5769814c,b386f8fb-17e8-4a59-bc4d-8674688b513d,2025-03-21,Home & Kitchen,466.74,Cancelled,Evansside,Indiana
b3a4915f-1d00-49f3-bca1-11aedae7ed5b,278387f3-6bc1-4e04-8d60-ae18c2f590b7,2024-09-29,Sports,286.92,Delivered,New Carolynborough,Wyoming
89000aeb-eed1-41e1-b65d-59bc4058f62e,ff9ebdc6-d143-4766-b6da-5e9e72541c41,2025-05-02,Books,351.36,Delivered,Bryanville,Nebraska
fc4bcfe9-9f06-4d9e-95f4-e4ba3695ccf2,36489412-fa1a-4819-84ed-76ecdd6aa5bf,2024-10-07,Sports,462.02,Cancelled,Martinezfort,South Carolina
774157e9-5ae6-4b7b-a0fd-331b5a2acd54,93102383-d7ef-49d2-b889-caf731e76c3b,2024-11-18,Sports,356.55,Returned,Amystad,Mississippi
f2cebc48-8d9a-4579-a2d1-e181c908d06d,5bc69030-8113-49fe-9077-d626836c4601,2025-05-11,Clothing,84.74,Cancelled,Steeleshire,Kansas
d2976d53-d1e2-4a8e-9641-1e485108e943,3cbb6e4b-8706-4b01-b7df-764db4628c75,2025-05-14,Books,292.38,Returned,West Julie,North Dakota
80e21a9b-b84f-4a5f-85b0-8bac019b2143,fa47ad54-edc9-4cff-9a62-d104f46818b0,2024-11-28,Books,307.29,Delivered,Tylermouth,Colorado
c92db0e8-ccb8-49ea-9ca7-23bf773c7387,642a4b6d-c607-4702-baac-b4e8011a66a2,2024-08-13,Books,217.82,Delivered,Levinehaven,Hawaii
28ff1dd9-4930-4122-b31c-984481cc0f71,efb1f6d0-5bb6-4c41-884a-5870410648d9,2024-09-27,Sports,370.86,Returned,Smithmouth,Washington
cbefa489-d452-4ab7-849c-472219f34438,c29cf3ff-1c4a-46a7-a327-b381adb68f2b,2025-05-24,Home & Kitchen,467.84,Delivered,South Andrew,Alabama
